game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,elo_rating,mean_ep_len,elapsed_sec,games_per_hour,snapshot
10200,0.0500,1.00e-03,0.003073,0.7950,0.8400,833.4,64.0,2823,256,
10300,0.0500,1.00e-03,0.012744,0.3600,0.3300,827.2,64.0,4100,264,
10400,0.0500,1.00e-03,0.014669,0.5900,0.8100,830.7,64.0,5310,272,
10500,0.0500,1.00e-03,0.011456,0.4250,0.9000,831.8,64.0,6897,261,
10600,0.0500,1.00e-03,0.014101,0.7400,0.4100,829.5,64.0,8991,241,
10700,0.0500,1.00e-03,0.033035,0.6150,0.4800,822.6,64.0,10350,244,
10800,0.0500,1.00e-03,0.028863,0.7750,0.8600,832.6,64.0,11534,250,
10900,0.0500,1.00e-03,0.021904,0.7450,0.7300,832.8,64.0,12711,255,
11000,0.0500,5.00e-04,0.030399,0.3050,0.0000,821.0,64.0,13818,261,
11100,0.0500,5.00e-04,0.035972,0.6950,0.7300,822.3,64.0,14720,269,
11200,0.0500,5.00e-04,0.030946,0.8050,0.5700,825.2,64.0,15698,275,
11300,0.0500,5.00e-04,0.028068,0.8250,0.8300,833.5,64.0,16853,278,
11400,0.0500,5.00e-04,0.017456,0.6800,0.7800,836.0,64.0,17812,283,
11500,0.0500,5.00e-04,0.019476,0.8050,0.9000,843.9,64.0,18792,288,
11600,0.0500,5.00e-04,0.037645,0.5250,0.2400,836.4,64.0,19780,291,
11700,0.0500,5.00e-04,0.027502,0.9150,0.9500,845.1,64.0,20712,296,
11800,0.0500,5.00e-04,0.023911,0.6150,0.7700,847.2,64.0,21735,298,
11900,0.0500,5.00e-04,0.038813,0.6750,0.8500,853.9,64.0,22771,301,
12000,0.0500,2.50e-04,0.025868,0.4550,0.4100,848.5,64.0,23773,303,
12100,0.0500,2.50e-04,0.045007,0.2850,0.5400,844.9,64.0,24721,306,
12200,0.0500,2.50e-04,0.029759,0.5550,0.7600,849.4,64.0,25636,309,
12300,0.0500,1.00e-03,0.028615,0.7400,0.7200,827.3,64.0,6262,173,
12400,0.0500,1.00e-03,0.015947,0.5450,0.6200,826.9,64.0,8186,176,
12500,0.0500,1.00e-03,0.024578,0.7300,0.4600,827.2,64.0,9160,197,
12600,0.0500,1.00e-03,0.026435,0.3500,0.2700,818.0,64.0,10197,212,
12700,0.0500,1.00e-03,0.008916,0.5750,0.5800,819.4,64.0,11223,225,
12800,0.0500,1.00e-03,0.016772,0.2850,0.3600,810.5,64.0,12196,236,
12900,0.0500,1.00e-03,0.033386,0.0250,0.0300,794.8,64.0,14167,229,
13000,0.0500,1.00e-03,0.036443,0.2700,0.2400,784.5,64.0,16300,221,
13100,0.0500,1.00e-03,0.035930,0.9300,0.9900,798.3,64.0,18283,217,
13200,0.0500,5.00e-04,0.017613,0.4700,0.7300,798.2,64.0,19306,224,
13300,0.0500,5.00e-04,0.020404,0.8500,1.0000,807.6,64.0,20328,230,
13400,0.0500,5.00e-04,0.020604,0.6450,0.8500,813.5,64.0,21296,237,
13500,0.0500,5.00e-04,0.029981,0.7450,0.8700,822.3,64.0,22232,243,
13600,0.0500,5.00e-04,0.021469,0.8150,0.2200,817.2,64.0,23215,248,
13700,0.0500,5.00e-04,0.015560,0.7000,0.2400,809.1,64.0,24214,253,
13800,0.0500,5.00e-04,0.021716,0.5700,0.6400,807.8,64.0,25250,257,
13900,0.0500,5.00e-04,0.027202,0.9000,0.9600,819.1,64.0,26311,260,
14000,0.0500,5.00e-04,0.042736,0.9750,0.9700,832.4,64.0,27215,265,
14100,0.0500,5.00e-04,0.027733,0.9300,0.9600,844.4,64.0,28266,268,
14200,0.0500,2.50e-04,0.028901,0.9850,0.9400,856.7,64.0,29347,270,
14300,0.0500,2.50e-04,0.032778,0.9300,0.7600,863.8,64.0,30423,272,
14400,0.0500,2.50e-04,0.016556,0.9550,0.2600,864.2,64.0,32909,263,
14000,0.0500,1.00e-03,0.000000,0.9850,1.0000,813.2,64.0,1119,3,
14100,0.0500,1.00e-03,0.028197,0.9700,0.9200,823.5,64.0,2525,144,
14200,0.0500,1.00e-03,0.017369,0.8450,0.9700,835.1,64.0,3611,200,
14300,0.0500,1.00e-03,0.017600,0.6050,0.1000,828.7,64.0,4700,231,
14400,0.0500,1.00e-03,0.021257,0.4650,0.2000,818.6,64.0,5819,248,
14500,0.0500,1.00e-03,0.023990,0.3400,0.3000,811.3,64.0,7139,253,
14600,0.0500,1.00e-03,0.014870,0.2950,0.0800,797.2,64.0,8372,258,
14700,0.0500,1.00e-03,0.026589,0.2000,0.1900,786.0,64.0,10131,249,
14800,0.0500,1.00e-03,0.019981,0.6600,0.3300,784.7,64.0,12256,235,
14900,0.0500,1.00e-03,0.024540,0.5900,0.8300,792.2,64.0,13996,232,
15000,0.0500,5.00e-04,0.029953,0.4350,0.5100,787.5,64.0,15881,227,
15100,0.0500,5.00e-04,0.018193,0.3750,0.3500,780.6,64.0,16890,235,
15200,0.0500,5.00e-04,0.023732,0.6900,0.7000,785.9,64.0,18098,239,
15300,0.0500,5.00e-04,0.017106,0.3950,0.3200,784.6,64.0,19288,243,
15400,0.0500,5.00e-04,0.027766,0.3100,0.0300,771.5,64.0,20549,245,
15500,0.0500,5.00e-04,0.013660,0.4750,0.5700,773.9,64.0,21806,248,
15600,0.0500,5.00e-04,0.021324,0.3200,0.2200,768.2,64.0,23054,250,
15700,0.0500,5.00e-04,0.027894,0.7400,0.3900,768.3,64.0,24266,252,
15800,0.0500,5.00e-04,0.021701,0.6500,0.2100,765.2,64.0,51260,126,
15900,0.0500,5.00e-04,0.037767,0.4050,0.1700,756.7,64.0,53860,127,
16000,0.0500,2.50e-04,0.033826,0.5900,0.6900,758.9,64.0,55833,129,
16100,0.0500,2.50e-04,0.026075,0.7700,0.8300,766.5,64.0,57009,133,
16200,0.0500,2.50e-04,0.028525,0.6200,0.4800,764.3,64.0,57979,137,
16300,0.0500,2.50e-04,0.020798,0.7650,0.6900,770.9,64.0,58853,141,
16400,0.0500,2.50e-04,0.024575,0.6800,0.9600,776.6,64.0,60305,143,
16500,0.0500,2.50e-04,0.020262,0.6800,0.6300,779.6,64.0,62567,144,
16600,0.0500,2.50e-04,0.021874,0.8100,0.9100,788.0,64.0,64343,146,
16700,0.0500,2.50e-04,0.031525,0.7750,0.7100,792.9,64.0,66225,147,
16800,0.0500,2.50e-04,0.017942,0.7500,0.9700,800.9,64.0,68352,148,
16900,0.0500,2.50e-04,0.021675,0.8150,0.6200,804.6,64.0,74615,140,
17000,0.0500,1.25e-04,0.030313,0.6200,0.7400,810.5,64.0,75634,143,
17100,0.0500,1.25e-04,0.021288,0.8150,0.5600,815.3,64.0,76651,146,
17200,0.0500,1.25e-04,0.019212,0.7500,0.7700,821.6,64.0,78076,148,
17300,0.0500,1.25e-04,0.023482,0.7800,0.7300,826.9,64.0,79838,149,
17400,0.0500,1.25e-04,0.014068,0.7950,0.2400,825.5,64.0,81854,150,
17500,0.0500,1.25e-04,0.022462,0.7050,0.3300,822.6,64.0,94742,133,
17600,0.0500,1.25e-04,0.025484,0.5300,0.7100,824.0,64.0,95717,135,
17700,0.0500,1.25e-04,0.030344,0.5850,0.4100,818.8,64.0,96972,137,
17800,0.0500,1.25e-04,0.023971,0.6000,0.5300,815.4,64.0,98487,139,
17900,0.0500,1.25e-04,0.015895,0.5400,0.4200,814.5,64.0,99984,140,
18000,0.0500,1.25e-04,0.022221,0.6850,0.2300,812.8,64.0,101688,142,
18100,0.0500,1.25e-04,0.034796,0.6900,0.2600,811.2,64.0,103126,143,
18200,0.0500,1.25e-04,0.018019,0.7550,0.7600,820.0,64.0,104825,144,
18300,0.0500,1.25e-04,0.016332,0.8500,0.4900,823.7,64.0,167895,92,
18400,0.0500,1.25e-04,0.024250,0.8300,0.7000,828.9,64.0,168792,94,
18500,0.0500,1.25e-04,0.020751,0.8550,0.9200,837.1,64.0,169653,96,
18600,0.0500,1.25e-04,0.018543,0.8550,0.4500,836.2,64.0,170550,97,
18700,0.0500,1.25e-04,0.016817,0.7300,0.5600,838.5,64.0,171400,99,
18800,0.0500,1.25e-04,0.019855,0.5200,0.4700,833.7,64.0,172287,100,
18900,0.0500,1.25e-04,0.021713,0.5950,0.3200,828.2,64.0,173157,102,
19000,0.0500,1.25e-04,0.025511,0.6900,0.7400,831.6,64.0,174048,103,
19100,0.0500,1.25e-04,0.016049,0.6900,0.4500,831.7,64.0,175420,105,
19200,0.0500,1.25e-04,0.025480,0.7350,0.4000,831.8,64.0,176572,106,
19300,0.0500,1.25e-04,0.036352,0.5800,0.6500,836.0,64.0,177460,108,
19400,0.0500,1.25e-04,0.028855,0.6500,0.7400,838.4,64.0,178542,109,
19500,0.0500,1.25e-04,0.026115,0.5900,0.4700,837.5,64.0,180012,110,
19600,0.0500,1.25e-04,0.030054,0.7450,0.5500,838.2,64.0,181883,111,
19700,0.0500,1.25e-04,0.018296,0.7050,0.4600,836.5,64.0,183082,112,
19800,0.0500,1.25e-04,0.025681,0.7400,0.3000,835.7,64.0,184368,113,
19900,0.0500,1.25e-04,0.033735,0.6550,0.8100,841.3,64.0,185776,114,
19999,0.0500,1.25e-04,0.024489,0.5100,0.5700,838.7,64.0,188156,115,
