game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,elo_rating,mean_ep_len,elapsed_sec,games_per_hour,snapshot
0,1.0000,1.00e-03,0.000000,0.5250,0.4600,795.8,64.0,378,10,
100,0.9864,1.00e-03,0.012602,0.5900,0.4900,794.1,64.0,929,391,
200,0.9729,1.00e-03,0.000719,0.5550,0.5300,795.7,64.0,1490,486,
300,0.9593,1.00e-03,0.012109,0.5150,0.3800,794.0,64.0,2057,527,
400,0.9457,1.00e-03,0.012909,0.5950,0.5300,797.1,64.0,2626,550,
500,0.9321,1.00e-03,0.004822,0.5800,0.4800,797.8,64.0,3210,562,
600,0.9186,1.00e-03,0.012342,0.5750,0.5300,800.0,64.0,3930,551,
700,0.9050,1.00e-03,0.007985,0.6050,0.6000,799.0,64.0,4710,536,
800,0.8914,1.00e-03,0.008440,0.6550,0.6600,799.6,64.0,5503,524,
900,0.8779,1.00e-03,0.004558,0.7700,0.7300,801.8,64.0,6157,527,
1000,0.8643,1.00e-03,0.008052,0.6100,0.4800,803.0,64.0,6670,540,
1100,0.8507,1.00e-03,0.008345,0.5850,0.5300,803.4,64.0,7190,551,
1200,0.8371,1.00e-03,0.004569,0.6550,0.6000,807.8,64.0,7711,561,
1300,0.8236,1.00e-03,0.027901,0.5900,0.4400,804.9,64.0,8225,569,
1400,0.8100,1.00e-03,0.004817,0.7550,0.7500,809.1,64.0,8749,576,
1500,0.7964,1.00e-03,0.008659,0.7650,0.6800,813.2,64.0,9256,584,
1600,0.7829,1.00e-03,0.004681,0.7250,0.6900,816.4,64.0,9785,589,
1700,0.7693,1.00e-03,0.004756,0.8050,0.6900,825.0,64.0,10317,594,
1800,0.7557,1.00e-03,0.009020,0.7450,0.6100,830.2,64.0,10843,598,
1900,0.7421,1.00e-03,0.004962,0.7600,0.7700,838.3,64.0,11372,602,
2000,0.7286,1.00e-03,0.004775,0.8050,0.6800,842.2,64.0,11901,605,
2100,0.7150,1.00e-03,0.004505,0.7650,0.6800,848.3,64.0,12436,608,
2200,0.7014,1.00e-03,0.012400,0.7400,0.7500,851.8,64.0,12965,611,
2300,0.6879,1.00e-03,0.004370,0.7600,0.7800,855.2,64.0,13496,614,
2400,0.6743,1.00e-03,0.008465,0.8450,0.7400,863.2,64.0,14004,617,
2500,0.6607,1.00e-03,0.001434,0.7200,0.6000,867.7,64.0,14541,619,
2600,0.6471,1.00e-03,0.008310,0.7800,0.7100,869.7,64.0,15073,621,
2700,0.6336,1.00e-03,0.000740,0.8000,0.6300,874.0,64.0,15607,623,
2800,0.6200,1.00e-03,0.004565,0.8500,0.7700,880.5,64.0,16150,624,
2900,0.6064,1.00e-03,0.016126,0.8800,0.9300,886.0,64.0,16972,615,
3000,0.5929,1.00e-03,0.008703,0.8950,0.8600,894.5,64.0,17852,605,
3100,0.5793,1.00e-03,0.005174,0.8650,0.8300,901.9,64.0,18862,592,
3200,0.5657,1.00e-03,0.008554,0.9300,0.8600,909.0,64.0,20328,567,
3300,0.5521,1.00e-03,0.012075,0.8800,0.8700,916.7,64.0,21414,555,
3400,0.5386,1.00e-03,0.008050,0.9200,0.9500,924.1,64.0,22561,543,
3500,0.5250,1.00e-03,0.004692,0.9600,0.8800,931.3,64.0,23514,536,
3600,0.5114,1.00e-03,0.011835,0.9350,0.9100,936.7,64.0,24224,535,
3700,0.4979,1.00e-03,0.008380,0.9250,0.9000,938.7,64.0,24948,534,
3800,0.4843,1.00e-03,0.004370,0.9200,0.9500,945.4,64.0,25721,532,
3900,0.4707,1.00e-03,0.004672,0.8850,0.7900,948.7,64.0,26386,532,
4000,0.4571,1.00e-03,0.008138,0.9100,0.9000,954.3,64.0,27055,532,
4100,0.4436,1.00e-03,0.020478,0.8900,0.8600,961.3,64.0,28530,517,
4200,0.4300,1.00e-03,0.004838,0.9100,0.9200,967.3,64.0,29623,511,
4300,0.4164,1.00e-03,0.011840,0.7700,0.7300,967.5,64.0,30401,509,
4400,0.4029,1.00e-03,0.008113,0.9600,0.9900,973.3,64.0,31119,509,
4500,0.3893,1.00e-03,0.004901,0.9700,0.8500,981.3,64.0,31832,509,
4600,0.3757,1.00e-03,0.008643,0.9350,0.9800,988.2,64.0,32517,509,
4700,0.3621,1.00e-03,0.015425,0.9550,0.9500,994.9,64.0,33256,509,
4800,0.3486,1.00e-03,0.012497,0.9650,0.9800,1002.2,64.0,33976,509,
4900,0.3350,1.00e-03,0.004218,0.9450,0.9500,1008.5,64.0,34716,508,
5000,0.3214,1.00e-03,0.004521,0.7000,0.8500,1006.0,64.0,35482,507,
5100,0.3079,1.00e-03,0.004196,0.9050,0.9200,1007.5,64.0,36141,508,
5200,0.2943,1.00e-03,0.015426,0.9750,0.9200,1013.7,64.0,36779,509,
5300,0.2807,1.00e-03,0.012045,0.8700,0.9400,1017.3,64.0,37491,509,
5400,0.2671,5.00e-04,0.004177,0.9450,0.9700,1022.4,64.0,38172,509,
5500,0.2536,5.00e-04,0.004814,0.9300,0.9300,1026.6,64.0,38837,510,
5600,0.2400,5.00e-04,0.008286,0.9600,0.9800,1031.5,64.0,39502,510,
5700,0.2264,5.00e-04,0.011391,0.9800,0.9900,1037.8,64.0,40160,511,
5800,0.2129,5.00e-04,0.000607,0.9100,0.9500,1041.6,64.0,40812,512,
5900,0.1993,5.00e-04,0.004517,0.9900,0.9500,1047.7,64.0,41486,512,
6000,0.1857,5.00e-04,0.000634,0.8800,0.8800,1049.6,64.0,42123,513,
6100,0.1721,5.00e-04,0.007534,0.9900,0.9900,1055.5,64.0,42830,513,
6200,0.1586,5.00e-04,0.019958,0.9550,0.9900,1059.6,64.0,43569,512,
6300,0.1450,5.00e-04,0.005054,0.9450,0.9200,1062.0,64.0,44270,512,
6400,0.1314,5.00e-04,0.012017,0.9850,1.0000,1065.9,64.0,45510,506,
6500,0.1179,5.00e-04,0.015498,0.9850,1.0000,1071.4,64.0,47446,493,
6600,0.1043,5.00e-04,0.004100,0.9700,0.9800,1075.9,64.0,49511,480,
6700,0.0907,5.00e-04,0.011539,1.0000,1.0000,1081.1,64.0,51844,465,
6800,0.0771,5.00e-04,0.012185,0.9550,0.8600,1081.4,64.0,53350,459,
6900,0.0636,5.00e-04,0.007847,0.9900,1.0000,1086.5,64.0,54069,459,
7000,0.0500,5.00e-04,0.019451,1.0000,1.0000,1091.5,64.0,54921,459,
7100,0.0500,5.00e-04,0.011571,0.9800,0.9900,1096.4,64.0,56540,452,
7200,0.0500,5.00e-04,0.000646,0.9000,0.9400,1099.6,64.0,57203,453,
7300,0.0500,5.00e-04,0.008866,0.9750,0.9700,1102.7,64.0,58000,453,
7400,0.0500,2.50e-04,0.011901,0.9600,0.9300,1104.9,64.0,58722,454,
7500,0.0500,2.50e-04,0.008636,0.9800,0.9900,1109.5,64.0,59418,454,
7600,0.0500,2.50e-04,0.024166,0.9900,0.9700,1114.0,64.0,60336,454,
7700,0.0500,2.50e-04,0.008900,1.0000,1.0000,1118.4,64.0,62399,444,
7800,0.0500,2.50e-04,0.008258,0.9700,0.9900,1122.7,64.0,64484,436,
7900,0.0500,2.50e-04,0.004557,1.0000,0.9600,1125.3,64.0,65171,436,
8000,0.0500,2.50e-04,0.008763,1.0000,0.9900,1129.5,64.0,65854,437,
8100,0.0500,2.50e-04,0.019302,0.9850,1.0000,1132.0,64.0,66492,439,
8200,0.0500,2.50e-04,0.000618,0.8550,0.9100,1132.9,64.0,67197,439,
8300,0.0500,2.50e-04,0.013112,0.8950,0.8900,1131.4,64.0,68007,439,
8400,0.0500,1.25e-04,0.000395,0.9850,0.9800,1135.4,64.0,68682,440,
8500,0.0500,1.25e-04,0.015719,1.0000,1.0000,1139.4,64.0,69616,440,
8600,0.0500,1.25e-04,0.016062,1.0000,1.0000,1143.3,64.0,72294,428,
8700,0.0500,1.25e-04,0.008275,1.0000,0.9900,1147.1,64.0,73153,428,
8800,0.0500,1.25e-04,0.008924,0.9650,0.9900,1150.1,64.0,74036,428,
8900,0.0500,1.25e-04,0.000536,0.9950,0.9800,1153.8,64.0,93001,345,
9000,0.0500,1.25e-04,0.012397,0.9950,1.0000,1157.4,64.0,93856,345,
9100,0.0500,1.25e-04,0.004329,1.0000,1.0000,1161.0,64.0,94766,346,
9200,0.0500,1.25e-04,0.004238,0.9900,0.9900,1164.5,64.0,95481,347,
9300,0.0500,1.25e-04,0.000381,1.0000,0.9800,1168.0,64.0,96184,348,
9400,0.0500,1.25e-04,0.012113,1.0000,0.9600,1170.6,64.0,96894,349,
9500,0.0500,1.25e-04,0.012282,1.0000,1.0000,1174.0,64.0,97713,350,
9600,0.0500,1.25e-04,0.008224,1.0000,1.0000,1177.3,64.0,98935,349,
9700,0.0500,1.25e-04,0.012069,0.9700,0.9800,1180.5,64.0,101357,345,
9800,0.0500,1.25e-04,0.012139,0.9950,1.0000,1183.7,64.0,102284,345,
9900,0.0500,1.25e-04,0.011955,0.9950,1.0000,1186.8,64.0,103370,345,
9999,0.0500,1.25e-04,0.004131,1.0000,1.0000,1189.9,64.0,104318,345,
10000,0.0500,1.00e-03,0.000000,0.9950,1.0000,814.0,64.0,662,5,
10100,0.0500,1.00e-03,0.011995,0.9500,0.9800,825.1,64.0,1737,209,
