game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,elo_rating,mean_ep_len,elapsed_sec,games_per_hour,snapshot
24000,0.0500,2.50e-05,0.000000,0.9750,0.9800,1102.1,64.0,1837,2,
24100,0.0500,2.50e-05,0.023950,0.9200,0.8500,1103.5,64.0,3914,93,
24200,0.0500,2.50e-05,0.030042,0.8700,0.8200,1105.7,64.0,5770,125,
24300,0.0500,2.50e-05,0.017078,0.8600,0.9900,1107.9,64.0,7370,147,
24400,0.0500,2.50e-05,0.017285,0.9700,0.9400,1110.8,64.0,9118,158,
24500,0.0500,2.50e-05,0.040385,0.9400,0.9900,1114.5,64.0,11336,159,
24600,0.0500,2.50e-05,0.040863,0.9750,1.0000,1118.1,64.0,13146,165,
24700,0.0500,2.50e-05,0.023526,0.9850,0.8800,1120.0,64.0,14944,169,
24800,0.0500,2.50e-05,0.024124,0.9550,0.9700,1124.3,64.0,16698,173,
24900,0.0500,2.50e-05,0.011234,0.7550,0.7200,1122.9,64.0,18224,178,
25000,0.0500,2.50e-05,0.023970,0.8500,0.8300,1122.3,64.0,19941,181,
25100,0.0500,2.50e-05,0.021915,0.9050,0.8000,1119.3,64.0,21865,181,
25200,0.0500,2.50e-05,0.009174,0.9300,0.9200,1122.0,64.0,23849,181,
25300,0.0500,2.50e-05,0.007946,0.8250,0.9300,1123.1,64.0,26190,179,
25400,0.0500,2.50e-05,0.020275,0.7850,0.9100,1122.6,64.0,27869,181,
25500,0.0500,2.50e-05,0.008424,0.9350,0.9000,1125.2,64.0,29408,184,
25600,0.0500,1.25e-05,0.026006,0.9450,0.8800,1123.8,64.0,30852,187,
25700,0.0500,1.25e-05,0.025425,0.9450,0.8800,1124.8,64.0,32374,189,
25800,0.0500,1.25e-05,0.017049,0.9750,0.9200,1128.2,64.0,33880,191,
25900,0.0500,1.25e-05,0.021226,0.9700,0.8800,1129.1,64.0,35448,193,
26000,0.0500,1.25e-05,0.033456,0.9550,0.9000,1130.0,64.0,37100,194,
26100,0.0500,1.25e-05,0.037000,0.9250,0.9800,1133.3,64.0,39181,193,
26200,0.0500,1.25e-05,0.030571,0.8700,0.7500,1130.1,64.0,41546,191,
26300,0.0500,1.25e-05,0.021031,0.9400,0.7000,1130.2,64.0,44144,188,
26400,0.0500,1.25e-05,0.013420,0.7600,0.6200,1123.1,64.0,46361,186,
26500,0.0500,1.25e-05,0.022799,0.8600,0.8400,1119.4,64.0,48554,185,
26600,0.0500,6.25e-06,0.026944,0.8400,0.7200,1114.9,64.0,50646,185,
26700,0.0500,6.25e-06,0.015331,0.8400,0.7700,1115.3,64.0,52713,184,
26800,0.0500,6.25e-06,0.032755,0.9000,0.8600,1115.7,64.0,72193,140,
26900,0.0500,6.25e-06,0.033322,0.9250,0.9500,1115.3,64.0,74435,140,
27000,0.0500,6.25e-06,0.029615,0.9350,0.8700,1116.5,64.0,76692,141,
27100,0.0500,6.25e-06,0.024433,0.9750,0.9700,1119.3,64.0,78710,142,
27200,0.0500,6.25e-06,0.029637,0.9850,0.9400,1122.8,64.0,80217,144,
27300,0.0500,6.25e-06,0.016074,0.9800,0.8400,1124.6,64.0,81771,145,
27400,0.0500,6.25e-06,0.042428,0.9700,0.8700,1127.2,64.0,83318,147,
27500,0.0500,6.25e-06,0.039974,0.9800,0.9300,1128.1,64.0,84966,148,
27600,0.0500,3.13e-06,0.014238,0.9800,0.9900,1132.2,64.0,86808,149,
27700,0.0500,3.13e-06,0.031603,0.9800,0.9800,1135.4,64.0,88945,150,
27800,0.0500,3.13e-06,0.012339,0.9900,1.0000,1139.4,64.0,90908,151,
27900,0.0500,3.13e-06,0.027002,0.9850,0.9600,1142.5,64.0,92400,152,
28000,0.0500,3.13e-06,0.032772,0.9900,0.9800,1146.3,64.0,94216,153,
28100,0.0500,3.13e-06,0.011099,0.9900,0.9700,1148.5,64.0,96556,153,
28200,0.0500,3.13e-06,0.047633,1.0000,0.9800,1152.2,64.0,100934,150,
28300,0.0500,3.13e-06,0.017661,1.0000,1.0000,1155.9,64.0,102407,151,
28400,0.0500,3.13e-06,0.032614,0.9950,0.9800,1159.5,64.0,103871,153,
28500,0.0500,3.13e-06,0.025288,0.9850,1.0000,1163.0,64.0,105360,154,
28600,0.0500,3.13e-06,0.008607,1.0000,1.0000,1166.5,64.0,106976,155,
